"Years";"Weeks";"Gross margin 1 - Dema MTA";"Compare range: Gross margin 1 - Dema MTA";"Gross margin 2 - Dema MTA";"Compare range: Gross margin 2 - Dema MTA";"Net gross margin 1 - Dema MTA";"Compare range: Net gross margin 1 - Dema MTA";"Net gross margin 2 - Dema MTA";"Compare range: Net gross margin 2 - Dema MTA"
"2023";"Week 48, 2023";"0.7602155568763691";"0";"0.5879862026663706";"0";"0.7617707307764187";"0";"0.5662595743956828";"0"
"2023";"Week 49, 2023";"0.7873821787543085";"0";"0.6138279639914163";"0";"0.7878185604831021";"0";"0.5944539524309942";"0"
"2023";"Week 50, 2023";"0.793418389468017";"0";"0.6307512981420074";"0";"0.7933735575852058";"0";"0.6164857386772661";"0"
"2023";"Week 51, 2023";"0.7732703225946213";"0";"0.6007358175734814";"0";"0.7722192880577582";"0";"0.583128715441768";"0"
"2023";"Week 52, 2023";"0.7024147957873558";"0";"0.5198377503910039";"0";"0.7049378313374397";"0";"0.495516352974762";"0"
"2024";"Week 1, 2024";"0.576487677199899";"0";"0.391393486207833";"0";"0.5861466029772013";"0";"0.3726693377554577";"0"
"2024";"Week 2, 2024";"0.6207592121132377";"0";"0.44918998655124864";"0";"0.6277228048386556";"0";"0.41979018772769733";"0"
"2024";"Week 3, 2024";"0.7402852124607526";"0";"0.5788838361207466";"0";"0.7446558354057982";"0";"0.560068686205367";"0"
"2024";"Week 4, 2024";"0.7971959788558554";"0";"0.6331227289839402";"0";"0.7974106533361668";"0";"0.6189113569361046";"0"
"2024";"Week 5, 2024";"0.8049563161497196";"0";"0.6389058499724354";"0";"0.8031071442012883";"0";"0.6163854195464169";"0"
"2024";"Week 6, 2024";"0.7946349330955746";"0";"0.6317912025452791";"0";"0.7948358502467003";"0";"0.6162876366389513";"0"
"2024";"Week 7, 2024";"0.8042717995670443";"0";"0.662900340621791";"0";"0.8050548818221669";"0";"0.6433657027551017";"0"
"2024";"Week 8, 2024";"0.8035578952284811";"0";"0.6492465908886574";"0";"0.8047083767827501";"0";"0.616325151061488";"0"
"2024";"Week 9, 2024";"0.8050581363487228";"0";"0.6556644090795505";"0";"0.8043241609760868";"0";"0.6337587463544202";"0"
"2024";"Week 10, 2024";"0.8075783146195545";"0";"0.6543505038847529";"0";"0.8075313065711429";"0";"0.6341107414333562";"0"
"2024";"Week 11, 2024";"0.6960933577424827";"0";"0.5283307278707855";"0";"0.6980590085789419";"0";"0.5114197695740064";"0"
"2024";"Week 12, 2024";"0.7115631582721377";"0";"0.5455030744739089";"0";"0.7140238416782428";"0";"0.5282665492021141";"0"
"2024";"Week 13, 2024";"0.7369593240347502";"0";"0.5786806790797706";"0";"0.7419618897366543";"0";"0.555467608336681";"0"
